"最後
結算日","契約
月份","臺股期貨/小型臺指期貨
（ TX/MTX ）"
2022/08/03,202208W1,14707
2022/07/27,202207W4,14887
2022/07/20,202207,14713
2022/07/13,202207W2,14384
2022/07/06,202207W1,14015
2022/06/29,202206W5,15261
2022/06/22,202206W4,15388
2022/06/15,202206,16061
2022/06/08,202206W2,16659
2022/06/01,202206W1,16717
2022/05/25,202205W4,16155
2022/05/18,202205,16302
2022/05/11,202205W2,16028
2022/05/04,202205W1,16541
2022/04/27,202204W4,16304
2022/04/20,202204,17125
2022/04/13,202204W2,17311
2022/04/06,202204W1,17513
2022/03/30,202203W5,17759
2022/03/23,202203W4,17706
2022/03/16,202203,16937
2022/03/09,202203W2,17026
2022/03/02,202203W1,17897
2022/02/23,202202W4,18077
2022/02/16,202202,18206
2022/02/09,202202W2,18146
2022/02/07,202202W1,17882
2022/01/26,202201W4,17712
2022/01/19,202201,18217
2022/01/12,202201W2,18317
2022/01/05,202201W1,18466
2021/12/29,202112W5,18271
2021/12/22,202112W4,17816
2021/12/15,202112,17629
2021/12/08,202112W2,17881
2021/12/01,202112W1,17615
2021/11/24,202111W4,17650
2021/11/17,202111,17723
2021/11/10,202111W2,17554
2021/11/03,202111W1,17113
2021/10/27,202110W4,17059
2021/10/20,202110,16882
2021/10/13,202110W2,16370
2021/10/06,202110W1,16364
2021/09/29,202109W5,16823
2021/09/22,202109W4,16916
2021/09/15,202109,17382
2021/09/08,202109W2,17192
2021/09/01,202109W1,17484
2021/08/25,202108W4,17010
2021/08/18,202108,16785
2021/08/11,202108W2,17170
2021/08/04,202108W1,17601
2021/07/28,202107W4,17074
2021/07/21,202107,17431
2021/07/14,202107W2,17796
2021/07/07,202107W1,17799
2021/06/30,202106W5,17776
2021/06/23,202106W4,17347
2021/06/16,202106,17346
2021/06/09,202106W2,16947
2021/06/02,202106W1,17178
2021/05/26,202105W4,16636
2021/05/19,202105,16137
2021/05/12,202105W2,15901
2021/05/05,202105W1,16892
2021/04/28,202104W4,17544
2021/04/21,202104,17232
2021/04/14,202104W2,16816
2021/04/07,202104W1,16793
2021/03/31,202103W5,16444
2021/03/24,202103W4,16029
2021/03/17,202103,16177
2021/03/10,202103W2,15877
2021/03/03,202103W1,16183
2021/02/24,202102W4,16235
2021/02/17,202102,16326
2021/02/03,202102W1,15767
2021/01/27,202101W4,15749
2021/01/20,202101,15766
2021/01/13,202101W2,15760
2021/01/06,202101W1,14934
2020/12/30,202012W5,14652
2020/12/23,202012W4,14234
2020/12/16,202012,14323
